event_id,user_id,event_name,ts,session_id,properties
evt_000506,user_0122,signup_started,2026-05-01T12:00:00Z,s_0122_01,{}
evt_000507,user_0122,signup_completed,2026-05-01T12:08:00Z,s_0122_01,{}
evt_000508,user_0122,onboarding_step_viewed,2026-05-01T12:21:00Z,s_0122_01,"{""step"":1}"
evt_000509,user_0122,feature_used,2026-05-01T12:44:00Z,s_0122_01,"{""feature"":""board""}"
evt_000251,user_0058,signup_started,2026-05-01T13:00:00Z,s_0058_01,{}
evt_000252,user_0058,signup_completed,2026-05-01T13:07:00Z,s_0058_01,{}
evt_000253,user_0058,session_abandoned,2026-05-01T13:09:00Z,s_0058_01,{}
evt_000721,user_0165,signup_started,2026-05-01T14:00:00Z,s_0165_01,{}
evt_000722,user_0165,signup_completed,2026-05-01T14:06:00Z,s_0165_01,{}
evt_000723,user_0165,onboarding_step_viewed,2026-05-01T14:09:00Z,s_0165_01,"{""step"":1}"
evt_000724,user_0165,feature_used,2026-05-01T14:15:00Z,s_0165_01,"{""feature"":""board""}"
evt_000090,user_0023,signup_started,2026-05-01T17:00:00Z,s_0023_01,{}
evt_000091,user_0023,signup_completed,2026-05-01T17:04:00Z,s_0023_01,{}
evt_000092,user_0023,onboarding_step_viewed,2026-05-01T17:17:00Z,s_0023_01,"{""step"":1}"
evt_000093,user_0023,feature_used,2026-05-01T17:21:00Z,s_0023_01,"{""feature"":""board""}"
evt_000156,user_0037,signup_started,2026-05-02T08:00:00Z,s_0037_01,{}
evt_000842,user_0193,signup_started,2026-05-02T08:00:00Z,s_0193_01,{}
evt_000157,user_0037,signup_completed,2026-05-02T08:03:00Z,s_0037_01,{}
evt_000843,user_0193,signup_completed,2026-05-02T08:05:00Z,s_0193_01,{}
evt_000158,user_0037,onboarding_step_viewed,2026-05-02T08:09:00Z,s_0037_01,"{""step"":1}"
evt_000159,user_0037,error_shown,2026-05-02T08:10:00Z,s_0037_01,"{""code"":""onboarding_timeout""}"
evt_000844,user_0193,onboarding_step_viewed,2026-05-02T08:19:00Z,s_0193_01,"{""step"":1}"
evt_000845,user_0193,feature_used,2026-05-02T08:22:00Z,s_0193_01,"{""feature"":""board""}"
evt_000160,user_0037,feature_used,2026-05-02T08:34:00Z,s_0037_01,"{""feature"":""board""}"
evt_000161,user_0037,activation_completed,2026-05-02T08:36:00Z,s_0037_01,{}
evt_000846,user_0193,activation_completed,2026-05-02T08:41:00Z,s_0193_01,{}
evt_000164,user_0038,signup_started,2026-05-02T12:00:00Z,s_0038_01,{}
evt_000165,user_0038,signup_completed,2026-05-02T12:01:00Z,s_0038_01,{}
evt_000166,user_0038,session_abandoned,2026-05-02T12:03:00Z,s_0038_01,{}
evt_000661,user_0150,signup_started,2026-05-02T15:00:00Z,s_0150_01,{}
evt_000662,user_0150,session_abandoned,2026-05-02T15:05:00Z,s_0150_01,{}
evt_000125,user_0030,signup_started,2026-05-02T16:00:00Z,s_0030_01,{}
evt_000126,user_0030,signup_completed,2026-05-02T16:03:00Z,s_0030_01,{}
evt_000127,user_0030,onboarding_step_viewed,2026-05-02T16:06:00Z,s_0030_01,"{""step"":1}"
evt_000128,user_0030,feature_used,2026-05-02T16:12:00Z,s_0030_01,"{""feature"":""board""}"
evt_000444,user_0104,signup_started,2026-05-02T17:00:00Z,s_0104_01,{}
evt_000445,user_0104,signup_completed,2026-05-02T17:05:00Z,s_0104_01,{}
evt_000446,user_0104,session_abandoned,2026-05-02T17:07:00Z,s_0104_01,{}
evt_000022,user_0006,signup_started,2026-05-02T18:00:00Z,s_0006_01,{}
evt_000100,user_0025,signup_started,2026-05-02T18:00:00Z,s_0025_01,{}
evt_000101,user_0025,signup_completed,2026-05-02T18:02:00Z,s_0025_01,{}
evt_000023,user_0006,signup_completed,2026-05-02T18:05:00Z,s_0006_01,{}
evt_000024,user_0006,session_abandoned,2026-05-02T18:07:00Z,s_0006_01,{}
evt_000102,user_0025,onboarding_step_viewed,2026-05-02T18:15:00Z,s_0025_01,"{""step"":1}"
evt_000103,user_0025,session_abandoned,2026-05-02T18:18:00Z,s_0025_01,{}
evt_000135,user_0032,signup_started,2026-05-03T08:00:00Z,s_0032_01,{}
evt_000136,user_0032,signup_completed,2026-05-03T08:02:00Z,s_0032_01,{}
evt_000137,user_0032,onboarding_step_viewed,2026-05-03T08:07:00Z,s_0032_01,"{""step"":1}"
evt_000138,user_0032,feature_used,2026-05-03T08:21:00Z,s_0032_01,"{""feature"":""board""}"
evt_000966,user_0220,signup_started,2026-05-03T14:00:00Z,s_0220_01,{}
